PARENT_CLIENT,Average of MINIMUM_RATE,Average of WEIGHTED_AVERAGE_RATE
AAE-P,0.064666667,0.08
ABN-P,0.163636364,0.168181818
ACSC-P,0.088571429,0.105
ANTFIOTHR-P,0.05,0.055
ASF-P,0.12,0.12
ASOL-P,0.045833333,0.057777778
ASON-P,0.045227273,0.05
AUS-P,0.073333333,0.075
AUTIS-P,0.1,0.1
AVB-P,0.262805556,0.263888889
AWC-P,0.09,0.09
BCBSMA-P,0.12,0.12
BCBSMI-P,0.13875,0.14375
BCBSMN-P,0.15,0.15
BCBSND-P,0.15,0.15
BSA-P,0.17,0.17
CAHI-P,0.047923077,0.073076923
CAPBC-P,0.14,0.14
CBH-P,0.0456875,0.0625
CBHS-P,0.15,0.15
CBSA-P,0.093416667,0.111666667
CCIH-P,0.17,0.17
CETV-P,0.1348125,0.135
CGG-P,0.260633333,0.296666667
CHPI-P,0.11,0.11
CHPM-P,0.11,0.11
CIGSAR-P,0.047608696,0.068695652
COF-P,0.05,0.071666667
COP-P,0.050818182,0.076363636
CR-P,0.07934,0.09
CSG-P,0.068,0.105
CSGW-P,0.06,0.06
CSH-P,0.157745455,0.157272727
CVAL-P,0.055,0.06
CVCAM-P,0.07,0.07
CWCP-P,0.065125,0.07
EBMMT-P,0.114,0.115
EKH-P,0.09,0.09
ETFS-P,0.068333333,0.072380952
EWRS-P,0.11,0.113333333
FOCASO-P,0.085,0.09
GAP-P,0.165,0.165
GEMDB-P,0.108888889,0.11
GLBA-P,0.15,0.15
GND-P,0.099444444,0.101111111
GOLDR-P,0.041336842,0.059473684
GREAT-P,0.04869697,0.070606061
GRH-P,0.068769231,0.097692308
HAAL-P,0.075,0.08
HAP-P,0.127923077,0.143076923
HBCBS-P,0.08,0.08
HCMA-P,0.106666667,0.106666667
HCSC-P,0.0975,0.1
HHCG-P,0.11,0.11
HLNK-P,0.118714286,0.12
HMAI-P,0.08,0.08
HNP-P,0.21,0.21
HRR-P,0.07,0.07
HSP-P,0.039114286,0.070571429
IBX-P,0.07,0.095
ICHP-P,0.107333333,0.106666667
IHN-P,0.53,0.56
IMA-P,0.195,0.259444444
IQAX-P,0.02175,0.0275
ITE-P,0.126,0.126
ITMT-P,0.155666667,0.183333333
KBA-P,0.154285714,0.154285714
KSP-P,0.0575,0.06
L711-P,0.0904,0.102
LST-P,0.166666667,0.166666667
MAGAM-P,0.11,0.11
MAGWC-P,0.11,0.11
MCC-P,0.052761905,0.066190476
MEDIFB-P,0.124615385,0.124615385
MEK-P,0.086818182,0.088181818
MGM-P,0.074821429,0.076428571
MMO-P,0.135,0.135833333
NALC-P,0.14,0.14
NHE-P,0.098363636,0.103636364
NVN-P,0.060714286,0.061428571
OMNAD-P,0.15,0.15
PAM-P,0.081833333,0.08
PEH-P,0.111266667,0.129333333
PHC-P,0.124444444,0.126666667
PHLI-P,0.1450875,0.145
PHPNI-P,0.15,0.15
PMAM-P,0.082222222,0.08
PMCS-P,0.116,0.118
PSH-P,0.06,0.06
PSHWC-P,0.068,0.068
RISMS-P,0.095,0.1
RPG-P,0.08,0.08
SEN-P,0.135421053,0.148947368
SHPH-P,0.094125,0.114375
SIS-P,0.12625,0.126875
SMB-P,0.14,0.14
SNF-P,0.105176471,0.114705882
SSA-P,0.151818182,0.151818182
STU-P,0.041353333,0.064666667
TC3-P,0.1,0.1
TCTGA-P,0.115,0.115
TCTG-P,0.115555556,0.117777778
THCP-P,0.092857143,0.095714286
TRUST-P,0.088928571,0.087142857
UHNEIPI-P,0.1,0.1
UHN-P,0.025078788,0.050909091
UHNPI-P,0.1,0.1
UHNUSPEIPI-P,0.1,0.1
UPMC-P,0.136777778,0.146666667
USNAS-P,0.031718182,0.057272727
WAU-P,0.040657895,0.062105263
WHS-P,0.11,0.11
XFCHP-P,0.174615385,0.175384615
XKAI-P,0.07525,0.080357143
XOXF-P,0.032596,0.0568
XRX-P,0.0258,0.03
(blank),,
