PCODE,CLIENT_NM,Date,ACCTID,CCODE,CENSUS,Group_ID,CENSUS_EFF_DT,Total_Claims
5STAR-P,5Star Life Insurance,2024-01-01,1290.0,5STARLB PHCS,2385.0,1290LB0001,2025-01-30,374
5STAR-P,5Star Life Insurance,2024-02-01,1290.0,5STARLB PHCS,2385.0,1290LB0001,2025-01-30,274
5STAR-P,5Star Life Insurance,2024-03-01,1290.0,5STARLB PHCS,2385.0,1290LB0001,2025-01-30,453
5STAR-P,5Star Life Insurance,2024-04-01,1290.0,5STARLB PHCS,2385.0,1290LB0001,2025-01-30,208
5STAR-P,5Star Life Insurance,2024-05-01,1290.0,5STARLB PHCS,2385.0,1290LB0001,2025-01-30,421
5STAR-P,5Star Life Insurance,2024-06-01,1290.0,5STARLB PHCS,2385.0,1290LB0001,2025-01-30,474
5STAR-P,5Star Life Insurance,2024-07-01,1290.0,5STARLB PHCS,2385.0,1290LB0001,2025-01-30,372
5STAR-P,5Star Life Insurance,2024-08-01,1290.0,5STARLB PHCS,2385.0,1290LB0001,2025-01-30,272
5STAR-P,5Star Life Insurance,2024-09-01,1290.0,5STARLB PHCS,2385.0,1290LB0001,2025-01-30,437
5STAR-P,5Star Life Insurance,2024-10-01,1290.0,5STARLB PHCS,2385.0,1290LB0001,2025-01-30,338
5STAR-P,5Star Life Insurance,2024-11-01,1290.0,5STARLB PHCS,2385.0,1290LB0001,2025-01-30,369
5STAR-P,5Star Life Insurance,2024-12-01,1290.0,5STARLB PHCS,2385.0,1290LB0001,2025-01-30,303
5STAR-P,5Star Life Insurance,2025-01-01,1290.0,5STARLB PHCS,2385.0,1290LB0001,2025-01-30,589
5STAR-P,5Star Life Insurance,2025-02-01,1290.0,5STARLB PHCS,2385.0,1290LB0001,2025-01-30,384
5STAR-P,5Star Life Insurance,2025-03-01,1290.0,5STARLB PHCS,2385.0,1290LB0001,2025-01-30,301
5STAR-P,5Star Life Insurance,2025-04-01,1290.0,5STARLB PHCS,2385.0,1290LB0001,2025-01-30,36
90DB-P,90 Degree Benefits DBA EBSO,2024-01-01,1588.0,90DBPO 121007,4.0,1588PO0006,2025-02-28,4
90DB-P,90 Degree Benefits DBA EBSO,2024-01-01,1588.0,90DBPO HD3114,19.0,1588PO0005,2025-02-28,3
90DB-P,90 Degree Benefits DBA EBSO,2024-01-01,1588.0,90DBPO WTKDP,9.0,1588PO0010,2025-02-28,2
90DB-P,90 Degree Benefits DBA EBSO,2024-01-01,1588.0,90DBSS 217111,44.0,1588SS0020,2025-01-01,5
90DB-P,90 Degree Benefits DBA EBSO,2024-01-01,1588.0,90DBSS 222017,30.0,1588SS0014,2024-12-31,3
90DB-P,90 Degree Benefits DBA EBSO,2024-02-01,1588.0,90DBPO HD3114,19.0,1588PO0005,2025-02-28,3
90DB-P,90 Degree Benefits DBA EBSO,2024-02-01,1588.0,90DBSS 217111,44.0,1588SS0020,2025-01-01,7
90DB-P,90 Degree Benefits DBA EBSO,2024-02-01,1588.0,90DBSS 222017,30.0,1588SS0014,2024-12-31,10
90DB-P,90 Degree Benefits DBA EBSO,2024-03-01,1588.0,90DBPO HD3114,19.0,1588PO0005,2025-02-28,1
90DB-P,90 Degree Benefits DBA EBSO,2024-03-01,1588.0,90DBSS 217111,44.0,1588SS0020,2025-01-01,2
90DB-P,90 Degree Benefits DBA EBSO,2024-03-01,1588.0,90DBSS 222017,30.0,1588SS0014,2024-12-31,6
90DB-P,90 Degree Benefits DBA EBSO,2024-04-01,1588.0,90DBPO WTKDP,9.0,1588PO0010,2025-02-28,1
