,PROCESSED_DT_MONTH_YEAR,Total_Charges PAID,Total_Charges UNPAID,Total_Records PAID,Total_Records UNPAID,Total_Revenue_Estimate_Lower PAID,Total_Revenue_Estimate_Lower UNPAID,Total_Revenue_Estimate_Upper PAID,Total_Revenue_Estimate_Upper UNPAID,Total_Savings PAID,Total_Savings UNPAID,PAID_RATE,UNPAID_RATE,All Claims Total,Remaining to be Paid Rate,Remaining to be Paid (Lower Estimate),Remaining to be Paid (Upper Estimate),PCODE, pcode
0,2024-01,2139030.85,1558497.18,3101,1599,83528.53245,59634.817590000006,116905.78747734668,83464.35771034399,1465412.85,1046224.87,0.6597872340425532,0.3402127659574468,4700,0.0,0.0,0.0,AAE-P,AAE-P
1,2024-02,1492019.42,1108714.52,1904,966,56184.45654,43445.779050000005,78635.26322250692,60806.32405995373,985692.22,762206.65,0.6634146341463415,0.33658536585365856,2870,0.0,0.0,0.0,AAE-P,AAE-P
2,2024-03,1096751.1,823550.24,1429,677,39062.15529,32657.9163,54671.04342427428,45707.72777201805,685300.97,572945.9,0.6785375118708452,0.3214624881291548,2106,0.0,0.0,0.0,AAE-P,AAE-P
3,2024-04,2506124.56,1098684.32,3668,1599,94513.89963,39803.26131,132280.80920030645,55708.28878620093,1658138.59,698302.83,0.696411619517752,0.30358838048224795,5267,0.0,0.0,0.0,AAE-P,AAE-P
4,2024-05,2379579.87,1182040.48,3164,1256,87599.5266,45423.3969,122603.51450501004,63574.180327773356,1536833.8,796901.7,0.7158371040723982,0.2841628959276018,4420,0.0,0.0,0.0,AAE-P,AAE-P
5,2024-06,1577318.28,838621.97,2551,1074,59379.08025,34219.39767,83106.43001494292,47893.163141666475,1041738.25,600340.31,0.7037241379310345,0.2962758620689655,3625,0.0,0.0,0.0,AAE-P,AAE-P
6,2024-07,1334245.34,2116229.42,2281,2294,47961.09276,86442.82902,67125.91677266886,120984.61091007396,841422.68,1516540.86,0.4985792349726776,0.5014207650273224,4575,0.0,0.0,0.0,AAE-P,AAE-P
7,2024-08,909117.61,2301902.86,2308,2244,32298.61737,97259.46993,45204.85620083893,136123.48485353964,566642.41,1706306.49,0.5070298769771528,0.4929701230228471,4552,0.0,0.0,0.0,AAE-P,AAE-P
8,2024-09,893189.29,1978610.04,1918,1617,33211.99563,86473.12794,46483.21225017939,121027.01700770811,582666.59,1517072.42,0.5425742574257426,0.45742574257425744,3535,0.0,0.0,0.0,AAE-P,AAE-P
9,2024-10,1054077.5,2179582.19,2388,2043,36764.49441,92150.66367000001,51455.25779206432,128973.24527220844,644991.13,1616678.31,0.5389302640487474,0.46106973595125256,4431,0.09061369272419684,8350.11192212419,11686.742016738368,AAE-P,AAE-P
10,2024-11,936314.07,1420046.22,1826,1471,34180.38003,54028.40361,47838.55440144423,75617.67081149011,599655.79,947866.73,0.5538368213527449,0.4461631786472551,3297,0.07570713542019936,4090.3356686394577,5724.797244285538,AAE-P,AAE-P
11,2024-12,1126864.7,1601750.47,2288,1474,40353.72228,66247.54434000001,56478.70904004551,92719.47096812834,707960.04,1162237.62,0.6081871345029239,0.391812865497076,3762,0.021356822270020337,1414.8370302946719,1980.1932624366275,AAE-P,AAE-P
0,2024-01,767783.67,691291.52,292,193,51469.907999999996,46614.472499999996,67329.05274181117,60977.53812740849,343132.72000000003,310763.14999999997,0.6020618556701031,0.3979381443298969,485,0.0,0.0,0.0,ABN-P,ABN-P
1,2024-02,413977.31000000006,302803.76,224,120,23548.564499999997,21185.765999999996,30804.456483863196,27713.62164450867,156990.43,141238.44,0.6511627906976745,0.3488372093023256,344,0.0,0.0,0.0,ABN-P,ABN-P
2,2024-03,354613.27999999997,266987.47,254,87,22103.9865,22985.144999999997,28914.768467485548,30067.433576589596,147359.91,153234.3,0.7448680351906158,0.25513196480938416,341,0.0,0.0,0.0,ABN-P,ABN-P
3,2024-04,473898.60000000003,177867.38,319,109,27892.311,11889.372000000001,36486.6181305395,15552.77997495183,185948.74,79262.48,0.7453271028037384,0.2546728971962617,428,0.0,0.0,0.0,ABN-P,ABN-P
4,2024-05,513690.19,177732.34,304,88,31429.833,13907.8215,41114.13767678227,18193.163416907515,209532.22,92718.81,0.7755102040816326,0.22448979591836735,392,0.0,0.0,0.0,ABN-P,ABN-P
5,2024-06,384679.8,202502.18,250,79,18868.0845,10984.951500000001,24681.805462668595,14369.685271435454,125787.23,73233.01,0.7598784194528876,0.24012158054711247,329,0.0,0.0,0.0,ABN-P,ABN-P
6,2024-07,292388.54,234237.86000000002,291,133,17667.225,13423.048499999999,23110.931611271677,17559.019930876686,117781.5,89486.99,0.6863207547169812,0.3136792452830189,424,0.0,0.0,0.0,ABN-P,ABN-P
7,2024-08,668805.4299999999,260483.69,301,120,25213.3485,16283.268,32982.201385597305,21300.54341618497,168088.99,108555.12,0.7149643705463183,0.2850356294536817,421,0.0,0.0,0.0,ABN-P,ABN-P
8,2024-09,1025982.79,341475.36,228,166,40753.6845,24182.742,53310.89717750482,31634.039671483624,271691.23,161218.28,0.5786802030456852,0.4213197969543147,394,0.0,0.0,0.0,ABN-P,ABN-P
9,2024-10,221399.11000000002,215584.56,220,175,11563.9725,14240.462999999998,15127.116884633911,18628.2999455684,77093.15,94936.42,0.5569620253164557,0.4430379746835443,395,0.1384572787063928,1971.6957544990742,2579.2237173898457,ABN-P,ABN-P
10,2024-11,530220.7999999999,261581.20999999996,203,159,25158.6525,16152.612,32910.652202552985,21129.629088631984,167724.35,107684.08,0.5607734806629834,0.43922651933701656,362,0.13464582335986508,2174.881742152437,2845.016305927409,ABN-P,ABN-P
11,2024-12,323121.26,245381.51,228,136,16653.5535,17732.1795,21784.92298723507,23195.900190510598,111023.69,118214.53,0.6263736263736264,0.37362637362637363,364,0.06904567764922209,1224.330349775144,1601.576647337524,ABN-P,ABN-P
0,2024-01,5079648.39,513839.86,3763,224,27335.418400000002,3046.636,34506.51315157551,3845.881693256373,341692.73,38082.95,0.9438174065713569,0.05618259342864309,3987,0.0,0.0,0.0,ACSC-P,ACSC-P
1,2024-02,7015137.8,1199935.48,4066,206,39796.4024,4007.5888,50236.47572195168,5058.92807674408,497455.03,50094.86,0.9517790262172284,0.048220973782771535,4272,0.0,0.0,0.0,ACSC-P,ACSC-P
2,2024-03,5315869.04,494178.20999999996,3761,160,26528.9016,2151.9672,33488.41706250425,2716.508062980998,331611.27,26899.59,0.9591940831420556,0.0408059168579444,3921,0.0,0.0,0.0,ACSC-P,ACSC-P
3,2024-04,6870319.13,491862.25,3847,200,31542.5952,1977.2504,39817.38856807192,2495.9565620388657,394282.44,24715.63,0.9505806770447245,0.04941932295527551,4047,0.0,0.0,0.0,ACSC-P,ACSC-P
4,2024-05,5331606.92,576223.8500000001,4410,224,30560.9808,2611.2456,38578.26028008581,3296.2722325989234,382012.26,32640.57,0.9516616314199395,0.04833836858006042,4634,0.0,0.0,0.0,ACSC-P,ACSC-P
5,2024-06,4191953.2600000002,1041123.8,3909,355,26712.0792,4459.4288,33719.64894529388,5629.3024779790685,333900.99,55742.86,0.9167448405253283,0.08325515947467167,4264,0.0,0.0,0.0,ACSC-P,ACSC-P
6,2024-07,2904057.8099999996,4149578.3,1869,2221,15985.0352,21278.7776,20178.503189005423,26860.990688324364,199812.94,265984.72000000003,0.4569682151589242,0.5430317848410758,4090,0.0,0.0,0.0,ACSC-P,ACSC-P
7,2024-08,4913635.75,855327.07,4001,197,28471.472,2264.6904,35940.59577345683,2858.802741861336,355893.39999999997,28308.63,0.9530728918532635,0.04692710814673654,4198,0.0,0.0,0.0,ACSC-P,ACSC-P
8,2024-09,5204633.13,659854.92,3656,233,30035.432800000002,2377.944,37914.84153490998,3001.766964346523,375442.91000000003,29724.3,0.9400874260735408,0.059912573926459246,3889,0.0,0.0,0.0,ACSC-P,ACSC-P
9,2024-10,7070392.65,550374.2,5192,225,37398.9696,2399.332,47210.10732207314,3028.7658305239615,467487.12,29991.65,0.9584640945172604,0.04153590548273953,5417,-0.06691896140544251,-160.5608055068432,-202.681863718956,ACSC-P,ACSC-P
10,2024-11,5723071.55,413358.55,4189,155,44125.3856,3969.452,55701.11187779518,5010.786578724828,551567.3200000001,49618.15,0.9643186003683242,0.035681399631675874,4344,-0.07277346725650624,-288.8707851482732,-364.65231301617223,ACSC-P,ACSC-P
11,2024-12,5860201.3,730929.44,4262,319,26357.8344,4082.9248,33272.47258709051,5154.0275055052325,329472.93,51036.56,0.9303645492250601,0.06963545077493997,4581,-0.03881941611324213,-158.4967567702759,-200.07633839530297,ACSC-P,ACSC-P
0,2024-01,3257635.39,28000.0,502.0,1.0,33150.084,21.6,35360.0896,23.04,663001.68,432.0,0.9980119284294234,0.0019880715705765406,503.0,0.0,0.0,0.0,ANTFIOTHR-P,ANTFIOTHR-P
1,2024-02,4804083.85,,615.0,,35926.4675,,38321.565333333325,,718529.35,,,,,0.0,,,ANTFIOTHR-P,ANTFIOTHR-P
2,2024-03,4018137.54,,605.0,,27925.14,,29786.816,,558502.7999999999,,,,,0.0,,,ANTFIOTHR-P,ANTFIOTHR-P
3,2024-04,2797125.03,,493.0,,21627.604,,23069.444266666665,,432552.08,,,,,0.0,,,ANTFIOTHR-P,ANTFIOTHR-P
4,2024-05,4537381.72,656169.07,525.0,91.0,40304.672,4877.782,42991.65013333333,5202.967466666667,806093.44,97555.64000000001,0.8522727272727273,0.14772727272727273,616.0,0.0,0.0,0.0,ANTFIOTHR-P,ANTFIOTHR-P
5,2024-06,2979536.11,915778.15,488.0,153.0,22730.386000000002,12503.388500000001,24245.745066666666,13336.947733333333,454607.72,250067.77000000002,0.7613104524180967,0.23868954758190328,641.0,0.0,0.0,0.0,ANTFIOTHR-P,ANTFIOTHR-P
6,2024-07,3492854.81,1361200.79,485.0,148.0,24073.77,14507.5585,25678.688,15474.729066666667,481475.4,290151.17,0.7661927330173776,0.23380726698262244,633.0,0.0,0.0,0.0,ANTFIOTHR-P,ANTFIOTHR-P
7,2024-08,2805714.0300000003,1182018.3299999998,546.0,133.0,28152.0595,23382.298499999997,30028.863466666666,24941.1184,563041.19,467645.97,0.8041237113402062,0.1958762886597938,679.0,0.0,0.0,0.0,ANTFIOTHR-P,ANTFIOTHR-P
8,2024-09,3303312.2399999998,1115773.6199999999,517.0,119.0,29501.219500000003,10593.906,31467.967466666665,11300.1664,590024.39,211878.12,0.8128930817610063,0.1871069182389937,636.0,0.0,0.0,0.0,ANTFIOTHR-P,ANTFIOTHR-P
9,2024-10,2696598.44,1164101.26,605.0,158.0,19633.414,21872.452,20942.308266666663,23330.615466666663,392668.28,437449.04,0.7929226736566186,0.20707732634338138,763.0,0.03954476538318763,864.9409826950331,922.6037148747017,ANTFIOTHR-P,ANTFIOTHR-P
10,2024-11,3119216.13,721461.43,624.0,138.0,17821.0955,14424.246500000001,19009.168533333333,15385.862933333332,356421.91000000003,288484.93,0.8188976377952756,0.18110236220472442,762.0,0.013569801244530666,195.7341581071171,208.7831019809249,ANTFIOTHR-P,ANTFIOTHR-P
11,2024-12,2863085.4,1245009.29,548.0,140.0,12597.573,18647.57,13437.411199999999,19890.74133333333,251951.46,372951.4,0.7965116279069767,0.20348837209302326,688.0,0.03595581113282953,670.4885050062179,715.1877386732991,ANTFIOTHR-P,ANTFIOTHR-P
0,2024-02,261.0,261.0,1.0,1.0,0.0,0.0,0.0,0.0,234.68,234.68,0.5,0.5,2.0,0.0,0.0,0.0,ARP-P,ARP-P
1,2024-03,,55218.37,,3.0,,0.0,,0.0,,28104.9,,,,0.0,0.0,0.0,ARP-P,ARP-P
2,2024-04,,753.0,,3.0,,0.0,,0.0,,45.18,,,,0.0,0.0,0.0,ARP-P,ARP-P
3,2024-05,,420.0,,2.0,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,ARP-P,ARP-P
4,2024-07,,2442.5,,1.0,,0.0,,0.0,,146.55,,,,0.0,0.0,0.0,ARP-P,ARP-P
5,2024-08,825.0,24954.11,1.0,4.0,0.0,0.0,0.0,0.0,360.57,2054.95,0.2,0.8,5.0,0.0,0.0,0.0,ARP-P,ARP-P
6,2024-09,,410.0,,2.0,,0.0,,0.0,,45.46,,,,0.0,0.0,0.0,ARP-P,ARP-P
7,2024-10,,2010.0,,3.0,,0.0,,0.0,,30.2,,,,,,,ARP-P,ARP-P
8,2024-11,,125.0,,1.0,,0.0,,0.0,,0.0,,,,,,,ARP-P,ARP-P
9,2024-12,,991.5,,3.0,,0.0,,0.0,,49.57,,,,,,,ARP-P,ARP-P
0,2024-01,7216.58,2494.84,3,5,168.666,56.034000000000006,168.666,56.034000000000006,1405.55,466.95,0.375,0.625,8,0.0,0.0,0.0,ASF-P,ASF-P
1,2024-02,6445.0,5319.01,3,3,622.3439999999999,35.0916,622.3439999999999,35.0916,5186.2,292.43,0.5,0.5,6,0.0,0.0,0.0,ASF-P,ASF-P
2,2024-04,5845.0,2335.0699999999997,9,2,453.3539999999999,29.211599999999997,453.3539999999999,29.211599999999997,3777.9500000000003,243.43,0.8181818181818182,0.18181818181818182,11,0.0,0.0,0.0,ASF-P,ASF-P
3,2024-05,34629.69,28696.239999999998,3,6,2045.9352000000001,1457.8104,2045.9352000000001,1457.8104,17049.460000000003,12148.42,0.3333333333333333,0.6666666666666666,9,0.0,0.0,0.0,ASF-P,ASF-P
4,2024-06,31424.7,11830.09,12,16,2415.87,657.9935999999999,2415.87,657.9935999999999,20132.25,5483.28,0.42857142857142855,0.5714285714285714,28,0.0,0.0,0.0,ASF-P,ASF-P
5,2024-07,7991.0,22668.9,20,47,270.3012,1183.1879999999999,270.3012,1183.1879999999999,2252.51,9859.9,0.29850746268656714,0.7014925373134329,67,0.0,0.0,0.0,ASF-P,ASF-P
6,2024-08,983.0,29186.52,6,36,56.1204,1309.2144,56.1204,1309.2144,467.67,10910.119999999999,0.14285714285714285,0.8571428571428571,42,0.0,0.0,0.0,ASF-P,ASF-P
7,2024-09,2023.8,56174.06,13,22,105.138,1707.7199999999998,105.138,1707.7199999999998,876.15,14231.0,0.37142857142857144,0.6285714285714286,35,0.0,0.0,0.0,ASF-P,ASF-P
8,2024-10,2850.0,40852.11,6,23,143.406,1719.3672,143.406,1719.3672,1195.05,14328.06,0.20689655172413793,0.7931034482758621,29,0.20158841790821977,346.6045136512857,346.6045136512857,ASF-P,ASF-P
9,2024-11,8437.74,44289.53,6,25,338.304,1885.5023999999999,338.304,1885.5023999999999,2819.2000000000003,15712.52,0.1935483870967742,0.8064516129032258,31,0.2149365825355835,405.26344221864076,405.26344221864076,ASF-P,ASF-P
